周次,阶段,角色,负责人,任务标题,任务描述,产出物,状态
第1周,管理,组长,组长,建GitHub仓库+邀请组员,创建仓库、设置分支保护、邀请4位组员,仓库可访问,待开始
第1周,管理,组长,组长,推送项目骨架,将本地项目目录结构推送到main分支,仓库根目录结构正确,待开始
第1周,管理,组长,组长,组织启动会+周总结会,讲解技术逻辑/协作规则/AI用法/查收第一周成果,会议记录,待开始
第2周,后端,后端D,1号,随访记录CRUD接口,FollowUpController增删改查+按患者/日期筛选,Postman全通过,待开始
第2周,后端,后端D,1号,预警列表+处理接口,"GET /api/alerts分页+ PUT /api/alerts/{id}/resolve",2个接口可调,待开始
第2周,后端,后端D,1号,逾期随访查询接口,GET /api/follow-ups/overdue 查出超期患者,接口返回正确,待开始
第2周,后端,后端D,1号,统计接口,"GET /api/stats/overview 总览数据+血压/血糖趋势",3个统计接口可调,待开始
第2周,后端,后端E,1号,用户管理接口,UserController CRUD+密码BCrypt加密,4个接口可调,待开始
第2周,后端,后端E,1号,操作日志接口,GET /api/logs 分页+自动记录关键操作,日志记录完整,待开始
第2周,后端,后端E,1号,预警自动触发逻辑,新增随访时遍历t_alert_rule匹配并插入t_alert,自动生成预警,待开始
第2周,后端,后端E,1号,数据脱敏逻辑,Service层统一脱敏:姓名/身份证/手机号/住址,非管理员看到脱敏数据,待开始
第2周,前端,前端C,前端C,登录页调通真实接口,LoginView.vue改调POST /api/auth/login,登陆成功跳转主页,待开始
第2周,前端,前端C,前端C,患者列表调真实接口,PatientList.vue替换Mock为真实API,表格显示数据库数据,待开始
第2周,前端,前端C,前端C,随访记录页面,"FollowUpList.vue列表+搜索+新增编辑弹窗","Mock数据先跑通，等接口就绪对接",待开始
第2周,前端,前端C,前端C,预警页面,AlertList.vue预警列表+颜色标签+处理按钮,页面功能完整,待开始
第2周,前端,前端C,前端C,统计看板页面,Dashboard.vue ECharts图表+总览数据卡片,图表正确展示,待开始
第2周,AI,3号,3号,Prompt模板定稿,ai-agent/prompts/task-decompose.txt最终版,稳定输出四类任务JSON,待开始
第2周,AI,3号,3号,拆解脚本编写,ai-agent/scripts/decompose.py读需求→调CodeArts→输出JSON,脚本可运行,待开始
第2周,AI,3号,3号,与4号联调,4号ChatPanel提交需求→调POST /api/ai/decompose→展示拆解结果,链路跑通,待开始
第2周,维护平台,4号,4号,调通与3号接口,ChatPanel提交需求→调3号接口→展示拆解结果,接口链路跑通,待开始
第2周,维护平台,4号,4号,维护平台路由+布局,PlatformLayout.vue侧边栏+内容区切换,页面切换正常,待开始
第2周,维护平台,4号,4号,UI规范落地,确保靶系统前端的配色/组件风格符合ui-spec.md,视觉统一,待开始
第2周,测试,5号,5号,患者接口测试用例,PatientControllerTest覆盖增删改查+分页+边界值,mvn test全部通过,待开始
第2周,测试,5号,5号,脱敏规则文档,docs/desensitization-rules.md姓名/身份证/手机/住址规则,文档完整,待开始
第2周,测试,5号,5号,脱敏前端组件,components/Desensitize.vue手机号/身份证脱敏显示,组件可用,待开始
第2周,部署,6号,6号,Docker全组验证,docker-compose up一键启动MySQL+后端,全组启动成功,待开始
第2周,部署,6号,6号,技术报告大纲,docs/final-report/7个文件标题+一级大纲,大纲完整,待开始
第2周,部署,6号,6号,检查全组Git规范,检查提交历史确保没人直接push develop,无违规提交,待开始
第3周,前后端联调,全员,全员,全模块前后端对接,前端调真实API替换Mock、修正字段不一致,所有页面真实数据,待开始
第3周,后端,后端D,1号,权限校验实现,医生只能查自己名下患者和随访,数据隔离验证通过,待开始
第3周,测试,5号,5号,预警规则专项测试,造边界数据触发全部10条规则,测试报告,待开始
第3周,测试,5号,5号,权限+脱敏测试,不同角色登录验证数据隔离和脱敏,测试报告,待开始
第3周,前端,前端C,前端C,系统管理页面,UserManage.vue+OperLog.vue,页面功能完整,待开始
第4周,部署,6号,6号,GitHub Actions CI/CD,配置PR自动编译+测试流水线,PR自动跑测试,待开始
第4周,部署,6号,6号,华为云部署,Dockerfile+docker-compose部署到华为云ECS,公网可访问,待开始
第4周,AI,3号,3号,CodeArts代码生成集成,CodeArts Snap生成代码片段+自动插入项目,生成链路可跑通,待开始
第4周,测试,5号,5号,端到端测试,完整用户流程测试(登录→查患者→新增随访→预警→处理),测试报告,待开始
第5周,报告,组长,组长,技术报告初稿,按final-report大纲写出8000字,技术报告v1,待开始
第5周,演示,全员,全员,录制演示视频,录制系统各功能操作演示+剪辑,演示视频,待开始
第6周,报告,组长,组长,技术报告定稿+答辩PPT,润色报告+制作PPT+组内预审,终稿+PPT,待开始
第6周,修复,全员,全员,Bug修复+答辩演练,Bug排查修复+至少2次模拟答辩,验收完成,待开始
