周次,阶段,角色,负责人,任务标题,任务描述,产出物,状态
第1周,环境搭建,全员,全员,安装开发软件,"VS Code/IDEA、Node.js 18+、JDK 11+、MySQL 8.0、Git、Postman",开发环境截图,待开始
第1周,学习,前端B,前端主力,学习 Vue3 + Element Plus,通读 Vue 3 官方教程到组件基础、跑通 Element Plus 示例项目,本地可运行 demo,待开始
第1周,学习,前端C,前端辅助,学习 Vue3 + Element Plus,同前端主力学习路径,本地可运行 demo,待开始
第1周,学习,后端D,后端主力,学习 Spring Boot + MyBatis-Plus,通读 Spring Boot Quick Start、MyBatis-Plus 快速开始、跑通 Hello World,本地可运行 demo,待开始
第1周,学习,后端E,后端辅助,学习 Spring Boot + MyBatis-Plus,同后端主力学习路径,本地可运行 demo,待开始
第1周,学习,测试F,测试+部署,学习测试框架,"JUnit 5、GitHub Actions 基础、Postman",学习笔记,待开始
第1周,管理,组长A,组长,建 GitHub 仓库 + 邀请组员,创建仓库 chronic-disease-follow-up、设置分支保护、邀请5位组员,仓库可访问,待开始
第1周,管理,组长A,组长,推送项目骨架,将本地项目目录结构推送到 GitHub main 分支,仓库根目录结构正确,待开始
第1周,管理,组长A,组长,组织第一次启动会,讲解技术逻辑/协作规则/AI用法/接口规范,会议记录,待开始
第2周,数据库,后端D,后端主力,数据库建表,在 MySQL 执行 schema.sql 建6张表 + 插入初始化数据,MySQL 表创建成功,待开始
第2周,后端,后端D,后端主力,Spring Boot 连库 + Knife4j,配置 application.yml、集成 Knife4j、启动无报错,GET /api/health 返回200,待开始
第2周,后端,后端D,后端主力,认证模块 JWT 登录,AuthController + SecurityConfig + JwtUtil、实现登录返回token,登录接口调通,待开始
第2周,后端,后端D,后端主力,患者管理 CRUD 接口,PatientController 增删改查+分页、Postman 全部调通,5个接口全部可调,待开始
第2周,前端,前端B,前端主力,Vue3 项目脚手架搭建,"npm create vite、装 Element Plus、配路由+Pinia",npm run dev 启动成功,待开始
第2周,前端,前端B,前端主力,全局布局框架,MainLayout.vue（侧边栏+顶栏+内容区+路由切换无闪烁）,页面切换正常,待开始
第2周,前端,前端B,前端主力,登录页面,LoginView.vue: 医生/患者双Tab、调通 /api/auth/login、存token跳转,登录成功跳转主页,待开始
第2周,前端,前端C,前端辅助,患者列表页,PatientList.vue: Mock数据渲染表格、状态标签颜色、搜索表单,页面可见3条数据,待开始
第2周,管理,组长A,组长,Swagger 接口文档定稿,对着25个接口清单写出完整 Swagger 定义、与后端确认可实现性,docs/swagger-api.md,待开始
第2周,数据库,后端E,后端辅助,异常规则表初始化,将10条预警规则插入 t_alert_rule 表、验证数据,表中10条数据,待开始
第3周,后端,后端D,后端主力,随访记录 CRUD 接口,FollowUpController 增删改查+按患者/日期筛选,Postman 全通过,待开始
第3周,后端,后端E,后端辅助,预警触发逻辑,新增随访时自动遍历 t_alert_rule 匹配并插入 t_alert,自动生成预警记录,待开始
第3周,后端,后端E,后端辅助,数据脱敏逻辑,Service 层统一脱敏: 姓名/身份证/手机号/住址,非管理员看到脱敏数据,待开始
第3周,后端,后端E,后端辅助,权限校验,医生只能查自己名下的患者和随访记录,数据隔离验证通过,待开始
第3周,前端,前端C,前端辅助,随访记录页面,FollowUpList.vue: 列表+搜索+新增编辑弹窗+调真实API,页面功能完整,待开始
第3周,前端,前端C,前端辅助,预警页面,AlertList.vue: 预警列表+颜色标签+处理按钮,预警数据正确展示,待开始
第3周,前端,前端B,前端主力,统计看板页面,Dashboard.vue: ECharts 图表+总览数据卡片,4个图表正确展示,待开始
第3周,测试,测试F,测试+部署,编写后端单元测试,PatientControllerTest、FollowUpControllerTest、边界条件覆盖,mvn test 全部通过,待开始
第4周,后端,后端E,后端辅助,统计接口,GET /api/stats/overview、血压/血糖趋势聚合查询,接口返回正确数据,待开始
第4周,后端,后端E,后端辅助,用户管理接口,UserController CRUD、密码BCrypt加密,4个接口可调,待开始
第4周,后端,后端E,后端辅助,操作日志接口,GET /api/logs 分页查询+自动记录关键操作,日志记录完整,待开始
第4周,前端,前端C,前端辅助,系统管理页面,UserManage.vue + OperLog.vue: 用户列表+操作日志查看,页面功能完整,待开始
第4周,测试,测试F,测试+部署,预警规则专项测试,造边界数据触发全部10条规则、验证预警正确生成,测试报告,待开始
第4周,测试,测试F,测试+部署,权限测试,用不同角色登录验证数据隔离和脱敏,测试报告,待开始
第5周,前后端联调,全员,全员,全模块前后端对接,"前端调真实API替换Mock、修正字段不一致、联调测试",所有页面真实数据,待开始
第5周,测试,测试F,测试+部署,端到端测试,完整用户流程测试(登录→查患者→新增随访→预警触发→处理),测试报告,待开始
第6周,安全,后端E,后端辅助,安全加固,SQL注入防护验证、XSS防护、接口鉴权全覆盖验证,无高危漏洞,待开始
第6周,部署,测试F,测试+部署,GitHub Actions CI/CD,配置 PR 自动编译+测试的流水线,PR自动跑测试,待开始
第6周,部署,测试F,测试+部署,华为云部署,编写 Dockerfile+docker-compose.yml、部署到华为云 ECS,公网可访问,待开始
第6周,文档,组长A,组长,技术报告初稿,按 final-report 大纲写出8000字技术报告初稿,技术报告v1,待开始
第6周,AI,后端D,后端主力,CodeArts API 集成,调研CodeArts Snap API、写最小Demo、Prompt模板定稿,需求拆解链路可跑通,待开始
第7周,报告,组长A,组长,技术报告定稿 + 答辩PPT,润色技术报告、制作答辩PPT、组内预审,技术报告定稿+PPT,待开始
第7周,演示,全员,全员,录制演示视频,录制系统各功能操作演示、剪辑合成,演示视频,待开始
